,2022-09-01,2023-09-01
Sales,113.0,238.0
Expenses,97.0,215.0
Operating Profit,16.0,23.0
OPM %,14.0,10.0
Other Income,1.0,1.0
Interest,5.0,10.0
Depreciation,5.0,8.0
Profit before tax,7.0,6.0
Tax %,28.0,38.0
Net Profit,5.0,4.0
EPS in Rs,2.47,1.54
