,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,172.0,210.0,218.0,231.0,385.0,428.0,439.0,435.0,425.0,389.0,406.0,411.0,483.0
Expenses,142.0,176.0,182.0,194.0,339.0,381.0,387.0,377.0,369.0,335.0,352.0,353.0,420.0
Operating Profit,30.0,34.0,36.0,37.0,46.0,48.0,52.0,58.0,57.0,54.0,55.0,58.0,64.0
OPM %,18.0,16.0,17.0,16.0,12.0,11.0,12.0,13.0,13.0,14.0,13.0,14.0,13.0
Other Income,4.0,1.0,2.0,3.0,2.0,6.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0
Interest,1.0,0.0,1.0,1.0,2.0,5.0,5.0,5.0,8.0,5.0,4.0,6.0,5.0
Depreciation,6.0,6.0,7.0,6.0,10.0,16.0,17.0,15.0,16.0,16.0,16.0,14.0,15.0
Profit before tax,28.0,28.0,30.0,33.0,36.0,33.0,34.0,39.0,34.0,35.0,37.0,39.0,45.0
Tax %,25.0,24.0,26.0,26.0,27.0,30.0,30.0,26.0,29.0,26.0,22.0,26.0,26.0
Net Profit,21.0,22.0,22.0,25.0,26.0,23.0,24.0,29.0,24.0,26.0,29.0,29.0,33.0
EPS in Rs,3.99,4.16,4.32,4.46,4.76,4.14,4.37,5.21,4.34,4.66,5.25,5.3,5.97
