,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,516.0,600.0,709.0,1483.0,1656.0,1690
Expenses,438.0,495.0,586.0,1299.0,1433.0,1460
Operating Profit,78.0,105.0,124.0,184.0,223.0,230
OPM %,15.0,17.0,17.0,12.0,13.0,14
Other Income,1.0,4.0,9.0,13.0,6.0,8
Interest,3.0,4.0,3.0,13.0,22.0,20
Depreciation,12.0,17.0,23.0,48.0,63.0,61
Profit before tax,63.0,88.0,107.0,136.0,144.0,156
Tax %,28.0,26.0,25.0,28.0,26.0,
Net Profit,46.0,65.0,80.0,98.0,107.0,117
EPS in Rs,103.82,12.86,15.45,17.74,19.45,21.18
