,Mar 2011,Mar 2012,Mar 2013,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,35.31,41.67,29.99,43.8,50.18,59.35,65.23,59.56,66.83,60.33,34.5,31.77
Expenses,33.39,40.33,28.36,38.33,44.02,46.54,50.02,43.74,57.42,53.44,35.91,32.44
Operating Profit,1.92,1.34,1.63,5.47,6.16,12.81,15.21,15.82,9.41,6.89,-1.41,-0.67
OPM %,5.44,3.22,5.44,12.49,12.28,21.58,23.32,26.56,14.08,11.42,-4.09,-2.11
Other Income,0.0,0.0,0.0,0.11,0.35,0.07,0.23,0.8,0.11,0.14,2.5,1.36
Interest,0.0,0.0,0.0,3.62,3.11,3.22,3.71,4.4,3.81,4.46,4.41,4.95
Depreciation,0.0,0.0,0.0,1.23,1.6,2.2,3.73,8.1,5.12,6.27,5.87,5.34
Profit before tax,1.92,1.34,1.63,0.73,1.8,7.46,8.0,4.12,0.59,-3.7,-9.19,-9.60
Tax %,0.0,0.0,0.0,43.84,38.33,32.98,27.88,27.91,37.29,15.14,24.92,
Net Profit,1.92,1.34,1.63,0.42,1.1,5.01,5.77,2.97,0.36,-3.14,-6.9,-7.36
EPS in Rs,8.0,4.32,5.26,1.35,3.55,13.92,2.34,1.2,0.15,-1.27,-2.79,-2.98
