,2011-03-01,2012-03-01,2013-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1.41,1.81,1.81,1.81,1.81,2.14,14.55,14.55,14.55,14.55,14.55,14.55
Reserves,3.33,4.89,6.53,6.94,8.05,15.69,23.96,26.72,34.5,31.43,24.98,21.4
Borrowings,11.72,17.18,24.68,26.06,23.85,28.92,34.2,36.65,40.63,40.18,45.25,46.78
Other Liabilities,9.59,9.83,13.44,24.58,31.32,32.9,35.06,43.2,43.1,49.18,56.51,56.54
Total Liabilities,26.05,33.71,46.46,59.39,65.03,79.65,107.77,121.12,132.78,135.34,141.29,139.27
Fixed Assets,5.5,8.74,10.32,11.47,14.99,22.79,46.39,38.8,68.29,62.48,57.49,55.18
CWIP,2.19,0.76,2.97,1.01,1.01,0.0,0.0,14.11,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,18.36,24.21,33.17,46.91,49.03,56.86,61.38,68.21,64.49,72.86,83.8,84.09
Total Assets,26.05,33.71,46.46,59.39,65.03,79.65,107.77,121.12,132.78,135.34,141.29,139.27
