,2021-03-01,2022-03-01,2023-03-01
Sales,140.0,257.0,281.0
Expenses,136.0,243.0,266.0
Operating Profit,4.0,15.0,15.0
OPM %,3.0,6.0,5.0
Other Income,3.0,0.0,2.0
Interest,8.0,8.0,9.0
Depreciation,7.0,6.0,5.0
Profit before tax,-8.0,1.0,2.0
Tax %,28.0,32.0,33.0
Net Profit,-6.0,0.0,1.0
EPS in Rs,-9.86,0.56,2.52
