,2019-03-01,2019-12-01,2020-03-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,135.94,142.24,199.06,161.82,206.63,187.93,205.34,271.48
Expenses,125.04,135.7,190.39,153.62,196.53,176.25,192.28,254.31
Operating Profit,10.9,6.54,8.67,8.2,10.1,11.68,13.06,17.17
OPM %,8.02,4.6,4.36,5.07,4.89,6.22,6.36,6.32
Other Income,0.91,1.29,1.31,1.78,1.72,-0.08,1.16,0.87
Interest,3.07,1.13,1.69,4.34,5.71,7.43,6.22,8.25
Depreciation,1.26,1.34,1.61,2.0,2.11,2.23,2.31,2.4
Profit before tax,7.48,5.36,6.68,3.64,4.0,1.94,5.69,7.39
Tax %,29.14,25.37,33.23,25.27,25.25,49.48,34.97,34.91
Net Profit,5.3,4.01,4.46,2.72,2.99,0.99,3.7,4.81
EPS in Rs,0.76,0.42,0.47,0.26,0.29,0.1,0.34,0.41
