,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0,19.0,53.0,95.0,141.0,230.0,341.0,316.0,590.0,732.0,871
Expenses,0,19.0,51.0,92.0,130.0,214.0,326.0,300.0,565.0,693.0,819
Operating Profit,0,0.0,2.0,4.0,11.0,17.0,16.0,16.0,25.0,39.0,52
OPM %,0,2.0,4.0,4.0,8.0,7.0,5.0,5.0,4.0,5.0,6
Other Income,0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,5.0,4
Interest,0,0.0,1.0,2.0,2.0,4.0,3.0,6.0,9.0,22.0,28
Depreciation,0,0.0,1.0,1.0,1.0,2.0,3.0,4.0,6.0,8.0,9
Profit before tax,0,0.0,1.0,1.0,8.0,12.0,12.0,8.0,12.0,13.0,19
Tax %,,25.0,31.0,38.0,31.0,30.0,30.0,31.0,27.0,29.0,
Net Profit,0,0.0,0.0,1.0,6.0,8.0,8.0,5.0,9.0,10.0,12
EPS in Rs,0.00,0.04,0.15,0.29,0.94,1.16,0.89,0.57,0.95,0.92,1.14
