,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,2,2,2,4,4,6,6,6,10,12
Reserves,0,0,0,4,16,24,71,76,85,103,153
Borrowings,0,1,12,20,23,42,35,52,78,124,119
Other Liabilities,0,3,12,24,35,66,92,127,212,198,269
Total Liabilities,0,6,27,50,78,137,204,262,381,435,553
Fixed Assets,0,1,6,8,20,25,25,35,54,65,65
CWIP,0,0,0,7,2,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0
Other Assets,0,5,20,34,57,112,179,227,328,370,487
Total Assets,0,6,27,50,78,137,204,262,381,435,553
