,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,0.0,0.0,-0.00,0.0,0.09,3.05,1.53,0.93,7.06,20.0,18.82,17.61
Expenses,0.02,0.02,0.02,0.03,0.05,3.05,1.55,1.01,6.31,17.63,17.77,17.38
Operating Profit,-0.02,-0.02,-0.02,-0.03,0.04,-0.00,-0.02,-0.08,0.75,2.37,1.05,0.23
OPM %,,,,,44.44,-0.00,-1.31,-8.60,10.62,11.85,5.58,1.31
Other Income,0.02,0.02,0.03,0.03,-0.00,0.04,0.04,0.08,0.01,-0.0,0.02,-0.0
Interest,0.0,0.0,-0.00,0.0,-0.00,-0.00,-0.0,-0.00,-0.0,-0.0,0.01,-0.0
Depreciation,0.0,0.0,-0.00,0.0,-0.00,-0.00,-0.0,-0.00,0.17,0.17,0.17,0.18
Profit before tax,0.0,0.0,0.01,0.0,0.04,0.04,0.02,-0.00,0.59,2.2,0.89,0.05
Tax %,,,-0.00,,-0.00,-0.00,-0.0,,27.12,32.27,42.7,80.0
Net Profit,0.0,0.0,0.01,0.0,0.04,0.04,0.02,-0.00,0.43,1.5,0.51,0.01
EPS in Rs,,,,,,,0.08,-0.00,0.95,3.32,1.13,0.02
