,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,0.25,0.25,0.25,0.25,1.25,1.25,1.25,1.25,4.52,4.52,4.52,4.52
Reserves,0.21,0.21,0.22,0.22,1.6,1.61,1.63,1.64,1.23,2.73,3.24,3.25
Preference Capital,0.0,0.0,0.0,0.0,0.26,0.26,0.26,0.26,0.26,0.26,0.26,
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,7.31,7.24,7.3,7.41
Other Liabilities,0.01,0.0,0.0,0.03,0.31,0.29,0.28,0.42,0.5,6.24,10.15,5.39
Total Liabilities,0.47,0.46,0.47,0.5,3.16,3.15,3.16,3.41,13.56,20.73,25.21,20.83
Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.13,7.16,7.04,7.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.01,0.01,0.01,0.01,0.7000000000000001,1.09,1.09,1.09,1.09,1.09,1.09,1.09
Other Assets,0.46,0.45,0.46,0.49,2.46,2.06,2.07,2.32,9.34,12.48,17.08,12.74
Total Assets,0.47,0.46,0.47,0.5,3.16,3.15,3.16,3.41,13.56,20.73,25.21,20.83
