,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,19.87,29.14,29.2,45.92,44.48
Expenses,17.55,25.24,24.77,41.02,40.30
Operating Profit,2.32,3.9,4.43,4.9,4.18
OPM %,11.68,13.38,15.17,10.67,9.40
Other Income,0.08,0.03,0.11,0.36,0.25
Interest,1.18,1.43,1.36,1.28,1.30
Depreciation,1.03,1.85,1.44,1.27,1.18
Profit before tax,0.19,0.65,1.74,2.71,1.95
Tax %,26.32,6.15,17.24,25.46,
Net Profit,0.15,0.61,1.44,2.02,1.64
EPS in Rs,0.35,1.44,3.39,1.65,1.34
