,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,27.3,417.14,916.56,840.99,2100.87,4643.61,1482.03,837.79,509.78
Inventory Days,0.0,0.00,,,,,,,
Days Payable,,,,,,,,,
Cash Conversion Cycle,27.3,417.14,916.56,840.99,2100.87,4643.61,1482.03,837.79,509.78
Working Capital Days,1787.64,4376.74,5028.89,2441.87,5309.48,12410.00,4184.91,3429.53,3340.06
ROCE %,,3.61,2.92,3.20,1.73,-1.19,1.01,0.27,-0.62
