,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
Reserves,15.47,16.31,17.66,15.97,15.17,16.03,15.99,15.81,15.42,15.41
Borrowings,6.33,9.12,7.1,6.08,8.08,6.97,8.11,8.51,11.46,10.98
Other Liabilities,3.15,3.21,3.29,4.1,4.77,3.82,2.7,2.46,1.03,1.04
Total Liabilities,37.95,41.64,41.05,39.15,41.02,39.82,39.8,39.78,40.91,40.43
Fixed Assets,6.77,6.58,6.38,6.12,5.73,6.1,5.85,5.69,5.73,5.62
CWIP,0.96,0.94,1.12,1.12,1.18,0.0,0.0,0.0,0.0,0.0
Investments,13.07,14.94,14.94,12.73,12.72,13.77,13.77,13.78,13.82,14.12
Other Assets,17.15,19.18,18.61,19.18,21.39,19.95,20.18,20.31,21.36,20.69
Total Assets,37.95,41.64,41.05,39.15,41.02,39.82,39.8,39.78,40.91,40.43
