,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2.54,1.12,0.9,1.71,0.86,0.36,1.16,1.49,1.79,1.63
Expenses,1.94,1.41,0.98,1.79,1.53,1.13,1.11,1.51,2.26,1.82
Operating Profit,0.6,-0.29,-0.08,-0.08,-0.67,-0.77,0.05,-0.02,-0.47,-0.19
OPM %,23.62,-25.89,-8.89,-4.68,-77.91,-213.89,4.31,-1.34,-26.26,-11.66
Other Income,0.25,1.83,1.4,1.44,1.37,1.16,0.6,0.4,0.54,0.24
Interest,0.41,0.54,0.58,1.19,1.21,0.42,0.24,0.18,0.11,0.10
Depreciation,0.18,0.21,0.2,0.19,0.16,0.17,0.28,0.28,0.31,0.30
Profit before tax,0.26,0.79,0.54,-0.02,-0.67,-0.2,0.13,-0.08,-0.35,-0.35
Tax %,26.92,31.65,27.78,-700.0,-2.99,-100.0,123.08,-112.5,-14.29,
Net Profit,0.19,0.55,0.39,-0.15,-0.7,0.65,1.27,1.48,1.34,1.02
EPS in Rs,0.15,0.42,0.3,-0.12,-0.54,0.5,0.98,1.14,1.03,0.78
