,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,0.18,0.18,0.38,0.78,0.82,0.68,1.13,0.66,0.97
Expenses,0.59,0.79,0.5,0.29,0.79,0.73,1.31,0.94,0.88
Operating Profit,-0.41,-0.61,-0.12,0.49,0.03,-0.05,-0.18,-0.28,0.09
OPM %,-227.78,-338.89,-31.58,62.82,3.66,-7.35,-15.93,-42.42,9.28
Other Income,1.1,0.31,0.24,0.04,0.38,0.02,0.4,0.13,0.11
Interest,0.15,0.27,0.13,0.11,0.1,0.08,0.06,0.05,0.05
Depreciation,0.04,0.13,0.09,0.2,0.14,0.14,0.12,0.19,0.11
Profit before tax,0.5,-0.7,-0.1,0.22,0.17,-0.25,0.04,-0.39,0.04
Tax %,14.0,-18.57,0.0,77.27,58.82,36.0,100.0,-5.13,125.0
Net Profit,0.42,0.23,0.13,1.13,1.15,0.4,1.05,0.29,0.73
EPS in Rs,0.32,0.18,0.1,0.87,0.88,0.31,0.81,0.22,0.56
