,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,7.85,5.53,7.67,12.76,18.52,23.88,16.03,37.35,46.52,44.48
Expenses,7.43,5.25,8.72,13.31,18.02,22.66,15.04,35.14,42.87,41.35
Operating Profit,0.42,0.28,-1.05,-0.55,0.5,1.22,0.99,2.21,3.65,3.13
OPM %,5.35,5.06,-13.69,-4.31,2.7,5.11,6.18,5.92,7.85,7.04
Other Income,0.09,0.33,0.68,1.16,0.13,7.23,3.3,2.73,1.54,1.42
Interest,0.08,0.06,0.8,0.69,0.84,0.89,0.79,0.95,0.93,0.92
Depreciation,0.32,0.32,0.91,0.8,0.71,0.82,0.65,0.62,0.58,0.55
Profit before tax,0.11,0.23,-2.08,-0.88,-0.92,6.74,2.85,3.37,3.68,3.08
Tax %,54.55,21.74,1.44,0.0,0.0,0.0,-4.21,1.19,11.68,
Net Profit,0.05,0.18,-2.05,-0.88,-0.91,6.75,2.97,3.33,3.26,2.62
EPS in Rs,0.04,0.13,-0.91,-0.36,-0.5,4.81,2.33,1.45,1.6,2.54
