,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,13.85,13.85,13.85,13.85,13.85,13.85,13.85,13.85,13.85,13.85
Reserves,19.46,25.11,26.14,27.56,37.94,45.97,52.28,55.41,61.21,65.78
Borrowings,0.86,5.01,10.48,8.74,9.69,11.29,10.48,11.55,13.55,7.17
Other Liabilities,2.9,2.15,3.41,1.27,1.73,2.97,3.94,4.27,5.66,2.61
Total Liabilities,37.07,46.12,53.88,51.42,63.21,74.08,80.55,85.08,94.27,89.41
Fixed Assets,2.44,3.25,11.45,6.48,6.09,6.59,6.79,6.47,6.21,5.92
CWIP,0.02,5.27,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0
Investments,29.45,34.11,36.39,37.42,48.48,56.98,63.25,66.99,71.96,71.96
Other Assets,5.16,3.49,6.04,7.52,7.46,10.51,10.51,11.62,16.1,11.53
Total Assets,37.07,46.12,53.88,51.42,63.21,74.08,80.55,85.08,94.27,89.41
