,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,9.7,24.06,23.2,37.08,57.25,82.85,95.72
Expenses,8.8,22.3,22.32,34.16,53.6,74.55,85.03
Operating Profit,0.9,1.76,0.88,2.92,3.65,8.3,10.69
OPM %,9.28,7.32,3.79,7.87,6.38,10.02,11.17
Other Income,0.29,1.38,2.48,1.8,2.82,1.78,2.56
Interest,0.07,0.28,0.15,0.26,0.15,0.1,0.10
Depreciation,0.07,0.2,0.21,0.19,0.27,0.44,0.47
Profit before tax,1.05,2.66,3.0,4.27,6.05,9.54,12.68
Tax %,26.67,27.82,27.67,27.87,27.77,25.47,
Net Profit,0.76,1.92,2.16,3.08,4.38,7.12,9.55
EPS in Rs,1.0,1.85,2.08,2.96,4.22,6.13,8.22
