,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1.89,2.59,2.59,2.59,10.38,11.62,11.62
Reserves,2.45,10.02,12.1,15.18,11.65,29.66,39.04
Borrowings,0.0,0.0,0.0,1.46,0.0,0.0,0.0
Other Liabilities,3.91,3.39,2.46,2.97,6.5,13.39,15.43
Total Liabilities,8.25,16.0,17.15,22.2,28.53,54.67,66.09
Fixed Assets,0.76,0.81,0.74,1.4,4.98,6.24,7.9
CWIP,0.0,1.02,1.13,1.16,0.17,0.12,0.0
Investments,0.1,3.11,6.76,6.79,0.27,0.89,0.0
Other Assets,7.39,11.06,8.52,12.85,23.11,47.42,58.19
Total Assets,8.25,16.0,17.15,22.2,28.53,54.67,66.09
