,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,14.8,11.67,13.86,15.89,15.83,12.9,12.69,28.2,29.07,17.25,21.2
Expenses,13.76,10.6,13.76,14.68,14.7,10.99,11.3,25.44,26.95,15.31,17.33
Operating Profit,1.04,1.07,0.1,1.21,1.13,1.91,1.39,2.76,2.12,1.94,3.87
OPM %,7.03,9.17,0.72,7.61,7.14,14.81,10.95,9.79,7.29,11.25,18.25
Other Income,0.63,0.54,1.36,0.43,0.51,0.38,0.26,0.38,0.81,0.59,0.78
Interest,0.02,0.0,0.0,0.01,0.02,0.01,0.0,0.01,0.01,0.05,0.03
Depreciation,0.04,0.05,0.03,0.1,0.09,0.1,0.1,0.11,0.12,0.11,0.13
Profit before tax,1.61,1.56,1.43,1.53,1.53,2.18,1.55,3.02,2.8,2.37,4.49
Tax %,29.19,27.56,23.08,29.41,30.07,27.52,27.74,27.48,19.64,25.32,25.17
Net Profit,1.15,1.12,1.09,1.08,1.08,1.58,1.12,2.18,2.24,1.77,3.36
EPS in Rs,1.11,1.08,1.05,1.04,1.04,1.52,1.08,1.88,1.93,1.52,2.89
