,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,7.17,7.17,7.17,7.17,7.17,7.17,0.0,0.0
Public,92.83,92.83,92.83,92.83,92.83,92.83,100.0,100.0
No. of Shareholders,2675.0,2644.0,2652.0,2670.0,2683.0,2782.0,2897.0,2838.0
