,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,15.54,7.67,4.86,1.73,1.76,1.38,3.22,2.82,0.76,0.22
Expenses,13.04,8.13,7.13,2.66,7.83,1.78,9.28,2.56,4.62,0.89
Operating Profit,2.5,-0.46,-2.27,-0.93,-6.07,-0.4,-6.06,0.26,-3.86,-0.67
OPM %,16.09,-6.0,-46.71,-53.76,-344.89,-28.99,-188.2,9.22,-507.89,-304.55
Other Income,1.83,0.29,0.01,0.06,0.84,0.53,1.09,0.02,-5.69,0.0
Interest,0.67,0.67,0.76,0.86,0.78,0.08,1.65,0.25,0.11,0.01
Depreciation,0.04,0.04,0.04,0.03,0.03,0.02,0.03,0.02,0.02,0.02
Profit before tax,3.62,-0.88,-3.06,-1.76,-6.04,0.03,-6.65,0.01,-9.68,-0.7
Tax %,26.24,-5.68,33.66,25.57,24.5,-33.33,25.11,0.0,25.21,22.86
Net Profit,2.67,-0.92,-2.04,-1.31,-4.56,0.04,-4.97,0.0,-7.24,-0.54
EPS in Rs,2.35,-0.81,-1.79,-1.15,-4.01,0.04,-4.37,0.0,-6.36,-0.47
