,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,52.47,52.47,52.47,22.23,16.84,16.84
Public,47.53,47.53,47.53,77.77,83.16,83.16
No. of Shareholders,123.0,146.0,448.0,1383.0,1526.0,1217.0
