,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,12.12,10.61,20.27,25.55,12.16,3.47,4.59,3.58,0.98
Expenses,11.44,8.52,15.69,20.2,14.89,10.42,11.04,7.16,5.51
Operating Profit,0.68,2.09,4.58,5.35,-2.73,-6.95,-6.45,-3.58,-4.53
OPM %,5.61,19.7,22.59,20.94,-22.45,-200.29,-140.52,-100.0,-462.24
Other Income,0.06,0.13,0.88,1.96,0.3,0.9,1.62,-5.69,-5.69
Interest,0.68,0.73,0.47,1.19,1.43,1.69,1.74,0.36,0.12
Depreciation,0.04,0.03,0.06,0.08,0.08,0.06,0.05,0.05,0.04
Profit before tax,0.02,1.46,4.93,6.04,-3.94,-7.8,-6.62,-9.68,-10.38
Tax %,0.0,33.56,24.75,26.82,24.87,24.74,25.38,25.21,
Net Profit,0.01,0.97,3.7,4.42,-2.96,-5.87,-4.94,-7.24,-7.78
EPS in Rs,0.04,3.23,4.45,3.88,-2.6,-5.16,-4.34,-6.36,-6.83
