,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2.4,3.0,8.31,11.38,11.38,11.38,11.38,11.38,11.38
Reserves,3.42,3.78,4.51,15.34,12.38,6.5,1.56,-5.68,-6.22
Borrowings,4.55,4.51,7.79,4.01,11.34,14.76,16.76,18.11,19.0
Other Liabilities,10.45,11.58,13.47,13.77,9.62,6.24,5.82,6.48,6.13
Total Liabilities,20.82,22.87,34.08,44.5,44.72,38.88,35.52,30.29,30.29
Fixed Assets,0.46,0.43,0.55,0.53,0.49,0.43,0.4,0.36,0.34
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Other Assets,20.36,22.44,33.53,43.97,44.23,38.45,35.1,29.93,29.95
Total Assets,20.82,22.87,34.08,44.5,44.72,38.88,35.52,30.29,30.29
