,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,41.75,45.92,22.16,23.68,34.46,35.66,31.1,40.61,40.05,34.96,45.94,65.8,94.91
Expenses,37.97,42.99,21.0,18.55,24.05,24.28,25.48,31.0,30.78,28.73,33.67,54.34,80.93
Operating Profit,3.78,2.93,1.16,5.13,10.41,11.38,5.62,9.61,9.27,6.23,12.27,11.46,13.98
OPM %,9.05,6.38,5.23,21.66,30.21,31.91,18.07,23.66,23.15,17.82,26.71,17.42,14.73
Other Income,-0.33,0.76,2.39,0.33,1.24,0.86,0.66,0.42,0.3,0.31,0.58,0.73,0.85
Interest,0.77,0.52,1.08,2.66,4.42,4.46,5.46,5.35,5.56,5.45,5.12,6.04,6.34
Depreciation,1.65,1.77,2.42,1.94,3.34,3.41,3.59,3.6,3.91,4.36,4.56,4.69,4.75
Profit before tax,1.03,1.4,0.05,0.86,3.89,4.37,-2.77,1.08,0.1,-3.27,3.17,1.46,3.74
Tax %,33.01,30.0,60.0,41.86,27.76,36.16,51.99,33.33,30.0,24.16,22.71,17.81,
Net Profit,0.69,0.97,0.03,0.5,2.8,2.78,-1.33,0.72,0.07,-2.48,2.45,1.21,2.80
EPS in Rs,0.95,1.28,0.04,0.59,3.17,2.87,-1.32,0.71,0.07,-2.17,1.95,0.96,2.22
