,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,8.33,5.47,2.53,7.45,11.91
Expenses,7.59,5.23,2.03,5.69,9.36
Operating Profit,0.74,0.24,0.5,1.76,2.55
OPM %,8.88,4.39,19.76,23.62,21.41
Other Income,0.02,0.03,0.09,0.01,0.01
Interest,0.00,0.01,0.0,0.04,0.05
Depreciation,0.06,0.10,0.12,0.09,0.10
Profit before tax,0.70,0.16,0.47,1.64,2.41
Tax %,25.71,25.00,25.53,28.05,
Net Profit,0.52,0.12,0.35,1.19,1.76
EPS in Rs,,,1.17,2.77,4.10
