,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,1.18,1.35,2.11,5.34,6.57
Expenses,0.78,1.38,1.12,4.58,4.78
Operating Profit,0.40,-0.03,0.99,0.76,1.79
OPM %,33.90,-2.22,46.92,14.23,27.25
Other Income,0.09,0.0,0.0,0.01,0.0
Interest,0.00,0.0,0.01,0.03,0.02
Depreciation,0.00,0.12,0.03,0.05,0.05
Profit before tax,0.49,-0.15,0.95,0.69,1.72
Tax %,26.53,6.67,26.32,30.43,26.16
Net Profit,0.36,-0.14,0.7,0.48,1.28
EPS in Rs,,-0.47,1.63,1.12,2.98
