,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,32.46,43.46,43.05,43.86,44.6,42.49,48.43,50.91,60.36,65.17
Expenses,28.7,39.27,39.15,39.96,39.73,38.1,43.55,45.99,53.81,59.16
Operating Profit,3.76,4.19,3.9,3.9,4.87,4.39,4.88,4.92,6.55,6.01
OPM %,11.58,9.64,9.06,8.89,10.92,10.33,10.08,9.66,10.85,9.22
Other Income,0.29,2.28,0.64,0.79,0.22,0.55,0.14,0.49,0.41,2.24
Interest,1.05,1.02,1.07,0.94,0.94,0.9,0.99,0.82,1.03,1.13
Depreciation,0.96,0.83,0.96,1.1,0.81,0.82,0.9,0.83,0.75,0.96
Profit before tax,2.04,4.62,2.51,2.65,3.34,3.22,3.13,3.76,5.18,6.16
Tax %,25.98,29.65,32.27,9.81,28.74,27.95,25.24,26.86,22.2,20.62
Net Profit,1.52,3.24,1.7,2.39,2.38,2.33,2.34,2.76,4.03,4.89
EPS in Rs,0.29,0.62,0.32,0.46,0.45,0.44,0.45,0.53,0.77,0.93
