,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,898.0,756.0,716.0,603.0,691.0,742.0
Expenses,717.0,589.0,568.0,518.0,567.0,623.0
Operating Profit,181.0,167.0,148.0,85.0,124.0,119.0
OPM %,20.0,22.0,21.0,14.0,18.0,16.0
Other Income,27.0,35.0,38.0,49.0,79.0,41.0
Interest,0.0,0.0,2.0,1.0,0.0,1.0
Depreciation,11.0,20.0,27.0,17.0,17.0,18.0
Profit before tax,197.0,182.0,157.0,116.0,186.0,141.0
Tax %,31.0,32.0,23.0,20.0,22.0,24.0
Net Profit,136.0,124.0,121.0,92.0,144.0,108.0
EPS in Rs,33.88,31.12,30.3,23.03,35.72,26.6
