,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Expenses,0.32,0.43,0.40,0.23,0.25,0.40,1.47,0.54,0.07,0.51,0.50,0.31,0.40
Operating Profit,-0.32,-0.43,-0.40,-0.23,-0.25,-0.40,-1.47,-0.54,-0.07,-0.51,-0.50,-0.31,-0.40
OPM %,,,,,,,,,,,,,
Other Income,0.46,0.51,0.53,0.43,0.27,0.36,2.49,0.28,0.25,0.22,0.29,0.42,0.13
Interest,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Profit before tax,0.06,0.0,0.05,0.12,-0.06,-0.12,0.94,-0.34,0.10,-0.37,-0.29,0.03,-0.35
Tax %,0.00,,880.00,33.33,33.33,8.33,40.43,23.53,20.00,29.73,-1417.24,166.67,2.86
Net Profit,0.05,-0.01,-0.39,0.09,-0.05,-0.11,0.55,-0.26,0.07,-0.26,-4.40,-0.03,-0.35
EPS in Rs,0.02,0.0,-0.18,0.04,-0.02,-0.05,0.25,-0.12,0.03,-0.12,-1.99,-0.01,-0.16
