,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,12.65,14.93,14.75,19.58,19.02,24.26,29.4,35.35,39.76,39.37,49.38,60.84
Expenses,12.25,14.43,14.38,18.98,18.52,23.02,26.69,31.91,35.78,33.83,42.43,51.45
Operating Profit,0.4,0.5,0.37,0.6,0.5,1.24,2.71,3.44,3.98,5.54,6.95,9.39
OPM %,3.16,3.35,2.51,3.06,2.63,5.11,9.22,9.73,10.01,14.07,14.07,15.43
Other Income,0.02,0.01,0.05,0.09,0.1,0.07,0.22,0.03,-0.01,0.03,0.18,0.02
Interest,0.11,0.21,0.22,0.32,0.22,0.64,0.72,0.4,0.88,1.18,1.2,1.2
Depreciation,0.08,0.09,0.09,0.11,0.14,0.15,0.17,0.25,0.23,0.26,0.44,0.83
Profit before tax,0.23,0.21,0.11,0.26,0.24,0.52,2.04,2.82,2.86,4.13,5.49,7.38
Tax %,21.74,-42.86,-136.36,-92.31,-50.0,25.0,28.92,25.53,11.54,-23.49,4.55,2.03
Net Profit,0.19,0.3,0.26,0.5,0.36,0.4,1.45,2.09,2.53,5.1,5.24,7.24
EPS in Rs,0.53,0.83,0.72,1.11,0.8,0.89,1.41,1.44,1.74,3.52,2.86,3.6
