,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,4.09,3.81,5.29,5.98,6.8,6.55,10.33,9.96,10.94,9.29,24.43,9.7,29.48
Expenses,4.16,4.9,7.21,6.27,6.52,8.61,8.79,7.88,9.09,7.42,18.88,7.12,23.76
Operating Profit,-0.07,-1.09,-1.92,-0.29,0.28,-2.06,1.54,2.08,1.85,1.87,5.55,2.58,5.72
OPM %,-1.71,-28.61,-36.29,-4.85,4.12,-31.45,14.91,20.88,16.91,20.13,22.72,26.6,19.4
Other Income,0.85,1.66,4.67,5.11,4.68,9.24,3.04,0.66,1.76,0.76,0.63,0.62,1.31
Interest,0.12,0.09,0.21,0.1,0.14,0.12,0.13,0.08,0.05,0.12,0.16,0.24,0.52
Depreciation,0.39,0.39,0.46,0.58,0.58,0.58,1.57,1.73,1.73,1.73,1.73,1.66,1.54
Profit before tax,0.27,0.09,2.08,4.14,4.24,6.48,2.88,0.93,1.83,0.78,4.29,1.3,4.97
Tax %,51.85,66.67,31.73,27.78,29.48,26.54,31.25,34.41,21.86,34.62,38.0,43.85,25.55
Net Profit,0.14,0.03,1.41,2.99,2.99,4.76,1.98,0.61,1.42,0.52,2.66,0.73,3.7
EPS in Rs,0.02,0.02,0.19,0.4,0.37,0.6,0.24,0.08,0.17,0.07,0.31,0.1,0.43
