,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,70.35,70.35,70.35,70.35,70.35,70.34,70.34
DIIs,0.31,0.31,0.31,0.31,0.31,0.31,0.31
Government,0.09,0.09,0.09,0.09,0.09,0.09,0.09
Public,29.25,29.25,29.25,29.25,29.25,29.26,29.24
No. of Shareholders,11340.0,11026.0,10565.0,9822.0,9706.0,8805.0,8120.0
