,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2,2,5,5,5,5,5,5,5.0
Reserves,21,50,50,53,47,57,65,71,75.0
Preference Capital,0,0,0,0,0,0,0,0,
Borrowings,7,37,40,43,42,37,27,31,36.0
Other Liabilities,15,12,15,13,14,16,16,19,22.0
Total Liabilities,45,101,109,115,107,115,113,126,137.0
Fixed Assets,15,43,48,50,52,55,58,64,65.0
CWIP,0,2,0,0,0,0,1,2,1.0
Investments,11,42,45,19,16,16,20,18,18.0
Other Assets,19,15,16,45,39,44,34,42,52.0
Total Assets,45,101,109,115,107,115,113,126,137.0
