,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,64.21,64.21,64.21,67.02,67.02,67.02,67.02,67.02
FIIs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Public,35.78,35.78,35.78,32.98,32.98,32.98,32.99,32.9
No. of Shareholders,14130.0,14367.0,10944.0,10456.0,9972.0,10425.0,9768.0,10154.0
