,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,0.59,1.43,1.77,2.79,6.52,4.33,1.86,1.21,0.68,0.8,1.23,19.63
Expenses,0.61,1.45,1.77,2.83,7.04,4.53,2.07,1.49,0.75,1.11,1.4,18.67
Operating Profit,-0.02,-0.02,0.0,-0.04,-0.52,-0.2,-0.21,-0.28,-0.07,-0.31,-0.17,0.96
OPM %,-3.39,-1.40,0.0,-1.43,-7.98,-4.62,-11.29,-23.14,-10.29,-38.75,-13.82,4.89
Other Income,0.03,0.03,0.02,-0.02,0.45,0.33,0.47,0.46,0.51,0.43,0.22,0.93
Interest,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
Depreciation,0.00,0.00,0.0,0.0,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.02
Profit before tax,0.01,0.01,0.02,-0.06,-0.08,0.11,0.24,0.16,0.43,0.11,0.04,1.71
Tax %,0.00,0.00,50.0,0.0,37.5,45.45,29.17,25.0,25.58,27.27,150.0,26.32
Net Profit,0.00,0.01,0.01,-0.06,-0.06,0.07,0.17,0.12,0.32,0.08,-0.03,1.26
EPS in Rs,,,0.02,-0.12,-0.1,0.1,0.25,0.17,0.46,0.12,-0.04,0.79
