,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-09-01
Sales,0.77,0.52,0.16,0.27,0.53,0.28,0.96,3.82,10.58
Expenses,0.91,0.53,0.22,0.33,0.78,0.34,1.29,3.92,9.7
Operating Profit,-0.14,-0.01,-0.06,-0.06,-0.25,-0.06,-0.33,-0.1,0.88
OPM %,-18.18,-1.92,-37.5,-22.22,-47.17,-21.43,-34.38,-2.62,8.32
Other Income,0.24,0.22,0.29,0.23,0.21,0.2,0.23,0.49,0.39
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
Profit before tax,0.09,0.2,0.22,0.16,-0.05,0.13,-0.11,0.38,1.25
Tax %,33.33,35.0,18.18,25.0,20.0,30.77,-27.27,34.21,25.6
Net Profit,0.07,0.13,0.18,0.12,-0.04,0.1,-0.13,0.26,0.92
EPS in Rs,0.1,0.19,0.26,0.17,-0.06,0.14,-0.19,0.16,0.57
