,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-06-01
Promoters,31.96,33.74,13.11,12.22,12.22,0.08,0.08
FIIs,17.73,15.4,0.47,0.86,0.48,0.12,0.12
DIIs,1.5,0.63,0.3,0.19,0.18,0.22,0.18
Public,48.81,50.23,86.12,86.74,87.12,99.57,99.62
No. of Shareholders,306402.0,280505.0,273230.0,262937.0,309839.0,316898.0,316486.0
