,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,69.7,69.7,69.7,69.7,69.93,70.45,67.26,67.26
FIIs,0.0,0.0,0.0,0.55,0.55,1.82,7.47,6.19
DIIs,1.45,0.73,0.73,0.0,0.0,0.0,0.0,0.0
Public,28.85,29.58,29.58,29.75,29.52,27.73,25.26,26.53
No. of Shareholders,4430.0,7055.0,7000.0,6332.0,7347.0,9453.0,10971.0,20684.0
