,2023-03-01
Depreciation,0.16
EPS in Rs,0.46
Expenses,6.26
Interest,0.02
Net Profit,0.47
OPM %,9.41
Operating Profit,0.65
Other Income,0.2
Profit before tax,0.67
Sales,6.91
Tax %,29.85
