,Mar 2011,Mar 2012,Mar 2014,Mar 2015,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,25.0,38.0,50.0,56.0,85.0,95.0,106.0,131.0,139.0,156
Expenses,21.0,33.0,43.0,47.0,77.0,90.0,105.0,116.0,132.0,149
Operating Profit,4.0,5.0,6.0,8.0,8.0,5.0,1.0,15.0,7.0,7
OPM %,14.0,13.0,13.0,15.0,9.0,5.0,1.0,11.0,5.0,4
Other Income,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2
Interest,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3
Depreciation,0.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,12.0,15
Profit before tax,3.0,3.0,5.0,6.0,8.0,4.0,-0.0,12.0,-5.0,-10
Tax %,34.0,33.0,33.0,33.0,29.0,29.0,41.0,28.0,-23.0,
Net Profit,2.0,2.0,3.0,4.0,6.0,3.0,-0.0,9.0,-6.0,-10
EPS in Rs,2.17,1.43,1.85,2.12,2.26,1.12,-0.09,3.54,-2.29,-4.10
