,2011-03-01,2012-03-01,2014-03-01,2015-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,7,10,12,14,18,25,25,25,25,26
Reserves,5,3,4,4,51,44,42,64,55,76
Borrowings,3,6,5,5,0,0,0,15,45,50
Other Liabilities,5,10,14,17,21,20,19,35,33,31
Total Liabilities,20,29,35,40,90,88,85,139,158,184
Fixed Assets,8,10,9,8,10,15,14,29,62,68
CWIP,0,0,0,0,2,0,0,0,3,4
Investments,0,0,0,0,16,14,10,33,8,24
Other Assets,12,19,26,32,63,59,61,77,85,88
Total Assets,20,29,35,40,90,88,85,139,158,184
