,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,107.0,29.0,13.0,0,0,0,0,4.0,42.0,2.0,92.0,176.0,107
Expenses,92.0,37.0,28.0,4,0,9,5,11.0,55.0,60.0,90.0,175.0,110
Operating Profit,15.0,-8.0,-15.0,-4,-0,-9,-5,-7.0,-12.0,-58.0,2.0,1.0,-2
OPM %,14.0,-29.0,-123.0,,,,,-169.0,-29.0,-3320.0,2.0,1.0,-2
Other Income,2.0,1.0,1.0,2,0,12,-13,-135.0,-2.0,20.0,5.0,7.0,6
Interest,5.0,3.0,5.0,5,4,3,3,2.0,1.0,1.0,0.0,0.0,0
Depreciation,1.0,1.0,1.0,1,1,1,1,6.0,7.0,7.0,6.0,7.0,7
Profit before tax,12.0,-11.0,-20.0,-8,-5,-1,-22,-150.0,-22.0,-46.0,0.0,1.0,-4
Tax %,31.0,-3.0,1.0,8,0,0,0,0.0,-1.0,0.0,17.0,-314.0,
Net Profit,8.0,-12.0,-20.0,-7,-5,-1,-22,-150.0,-22.0,-46.0,0.0,3.0,-1
EPS in Rs,18.27,-26.72,-44.72,-16.32,-11.97,-2.48,-49.65,-123.19,-13.68,-27.82,0.12,1.67,-0.55
