,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3,10,10,10,10,10
Reserves,0,18,55,103,162,145
Borrowings,0,0,4,4,13,19
Other Liabilities,3,8,31,60,54,40
Total Liabilities,6,36,100,176,240,214
Fixed Assets,0,0,2,29,41,43
CWIP,0,0,0,1,3,0
Investments,0,0,3,0,0,0
Other Assets,6,36,94,147,195,171
Total Assets,6,36,100,176,240,214
