,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05
Public,88.95,88.95,88.95,88.95,88.95,88.95,88.95,88.96,88.95
No. of Shareholders,21268.0,21255.0,21127.0,21124.0,21116.0,21103.0,21089.0,21081.0,21068.0
