,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,6.35,13.63,15.23,13.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0
Expenses,6.07,13.42,15.03,13.72,0.15,0.16,0.32,0.20,0.23,0.20,0.21,0.25,0.29
Operating Profit,0.28,0.21,0.2,0.07,-0.15,-0.16,-0.32,-0.20,-0.23,-0.20,-0.21,-0.25,-0.29
OPM %,4.41,1.54,1.31,0.51,,,,,,,,,
Other Income,0.06,0.1,0.05,0.0,0.15,0.47,0.65,0.62,0.58,0.62,0.67,0.71,0.76
Interest,0.04,0.06,0.07,0.07,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.0
Depreciation,0.23,0.2,0.14,0.14,0.14,0.14,0.14,0.07,0.05,0.10,0.09,0.09,0.08
Profit before tax,0.07,0.05,0.04,-0.14,-0.17,0.16,0.19,0.35,0.30,0.32,0.37,0.37,0.39
Tax %,28.57,40.0,125.0,-42.86,0.00,-12.50,21.05,34.29,26.67,28.12,24.32,27.03,
Net Profit,0.05,0.03,-0.01,-0.2,-0.17,0.18,0.16,0.23,0.21,0.23,0.28,0.28,0.28
EPS in Rs,0.17,0.1,-0.03,-0.66,-0.56,0.60,0.53,0.76,0.69,0.76,0.93,0.93,0.93
