,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,19,19,19,19,19,19,19,19,19
Reserves,980,1125,2421,2033,1692,3279,4019,4671,5297
Borrowings,10,0,0,0,0,0,0,0,0
Other Liabilities,149,174,120,135,213,294,345,418,509
Total Liabilities,1159,1318,2559,2187,1924,3591,4382,5108,5825
Fixed Assets,65,73,14,14,14,15,16,15,15
CWIP,3,3,0,0,0,0,0,0,0
Investments,667,770,2499,2086,1777,3424,4177,4838,5495
Other Assets,424,472,46,87,133,153,189,255,315
Total Assets,1159,1318,2559,2187,1924,3591,4382,5108,5825
