,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,983.0,1074.0,11.0,19.0,22.0,16.0,20.0,31.0,33
Expenses,909.0,998.0,3.0,4.0,6.0,6.0,4.0,6.0,6
Operating Profit,74.0,77.0,8.0,14.0,16.0,11.0,16.0,26.0,27
OPM %,8.0,7.0,71.0,76.0,73.0,65.0,78.0,82.0,82
Other Income,4.0,2.0,184.0,134.0,214.0,347.0,248.0,319.0,370
Interest,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Depreciation,16.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,1
Profit before tax,59.0,63.0,192.0,148.0,230.0,357.0,264.0,344.0,396
Tax %,29.0,32.0,17.0,14.0,37.0,25.0,25.0,25.0,
Net Profit,132.0,135.0,160.0,126.0,144.0,267.0,198.0,259.0,299
EPS in Rs,35.09,35.92,42.42,33.57,38.31,70.89,52.5,68.84,79.31
