,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,33.67,12.61,0.31,0.66,0.2,0.17,0.12,0.51,0.00,0.00,0.00,0.00,0.0
Expenses,32.52,14.97,2.06,1.79,1.36,1.2,0.98,1.42,1.68,0.66,2.91,0.88,0.81
Operating Profit,1.15,-2.36,-1.75,-1.13,-1.16,-1.03,-0.86,-0.91,-1.68,-0.66,-2.91,-0.88,-0.81
OPM %,3.42,-18.72,-564.52,-171.21,-580.0,-605.88,-716.67,-178.43,,,,,
Other Income,0.62,0.67,4.25,1.03,2.53,2.41,0.4,0.51,1.05,0.56,48.81,22.35,4.77
Interest,0.68,0.11,0.0,0.02,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.01,0.01
Depreciation,0.88,0.81,0.69,0.52,0.48,0.43,0.27,0.15,0.21,0.20,0.13,0.14,0.15
Profit before tax,0.21,-2.61,1.81,-0.64,0.89,0.95,-0.73,-0.55,-0.84,-0.30,45.77,21.32,3.8
Tax %,-195.24,2.3,-27.62,9.38,-11.24,22.11,106.85,-14.55,11.90,483.33,18.31,20.08,
Net Profit,0.62,-2.55,2.31,-0.58,0.99,0.74,0.05,-0.63,-0.74,1.15,37.39,17.04,2.94
EPS in Rs,0.57,-2.36,2.14,-0.54,0.92,0.69,0.05,-0.58,-0.69,1.07,34.63,15.78,2.7199999999999998
