,2012-03-01,2013-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,0,0,0,2,3,3,3,3,3,3
Reserves,0,1,1,0,1,5,5,4,6,6,6,7
Borrowings,1,1,3,9,9,9,12,26,28,41,40,39
Other Liabilities,2,6,11,9,26,31,24,39,30,29,28,33
Total Liabilities,3,7,15,19,36,46,44,73,68,79,77,82
Fixed Assets,1,3,5,5,7,14,17,26,24,28,26,27
CWIP,0,0,3,0,3,3,3,0,0,1,2,0
Investments,0,0,0,6,6,6,0,0,0,0,0,0
Other Assets,2,4,7,7,20,23,24,47,44,50,49,55
Total Assets,3,7,15,19,36,46,44,73,68,79,77,82
