,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2,16,16,25,34,34
Reserves,9,19,40,60,288,325
Borrowings,20,20,27,37,52,73
Other Liabilities,17,37,46,98,65,189
Total Liabilities,48,93,129,220,439,620
Fixed Assets,12,22,39,40,40,51
CWIP,0,2,1,18,96,212
Investments,0,0,0,0,0,0
Other Assets,36,68,89,161,302,357
Total Assets,48,93,129,220,439,620
