,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,107.0,101.0,137.0,222.0,101.0,74.0,162.0,253.0
Expenses,94.0,97.0,122.0,199.0,92.0,73.0,143.0,222.0
Operating Profit,13.0,4.0,15.0,23.0,9.0,1.0,19.0,31.0
OPM %,12.0,4.0,11.0,10.0,9.0,1.0,12.0,12.0
Other Income,0.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0
Interest,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
Depreciation,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0
Profit before tax,11.0,3.0,14.0,22.0,7.0,2.0,20.0,31.0
Tax %,26.0,26.0,25.0,25.0,26.0,29.0,26.0,25.0
Net Profit,8.0,2.0,10.0,16.0,6.0,1.0,15.0,23.0
EPS in Rs,3.36,0.95,4.13,6.55,1.63,0.37,4.29,6.81
