,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,136.0,193.0,298.0,388.0,527.0,589
Expenses,126.0,175.0,267.0,344.0,480.0,530
Operating Profit,10.0,18.0,31.0,44.0,47.0,59
OPM %,8.0,9.0,10.0,11.0,9.0,10
Other Income,1.0,1.0,1.0,2.0,4.0,7
Interest,2.0,2.0,1.0,3.0,2.0,2
Depreciation,2.0,2.0,3.0,5.0,5.0,4
Profit before tax,7.0,14.0,28.0,39.0,44.0,59
Tax %,28.0,26.0,26.0,26.0,26.0,
Net Profit,5.0,11.0,21.0,29.0,33.0,44
EPS in Rs,25.1,6.54,12.74,11.62,9.8,13.10
