,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,375.0,338.0,491.0,493.0,512
Expenses,288.0,210.0,400.0,495.0,474
Operating Profit,86.0,128.0,91.0,-3.0,37
OPM %,23.0,38.0,19.0,-1.0,7
Other Income,-9.0,1.0,1.0,0.0,1
Interest,5.0,1.0,4.0,14.0,15
Depreciation,9.0,14.0,15.0,18.0,19
Profit before tax,63.0,114.0,73.0,-34.0,5
Tax %,24.0,26.0,27.0,19.0,
Net Profit,48.0,85.0,54.0,-27.0,2
EPS in Rs,55.98,98.99,62.75,-31.78,2.34
