,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
DIIs,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Public,24.98,24.98,24.98,24.98,24.98,24.98,24.99,24.97
No. of Shareholders,732.0,697.0,723.0,722.0,747.0,890.0,910.0,2183.0
