,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,0.23,1.88,0.58,1.88,0.98,2.14,0.00,13.23,7.16
Expenses,0.24,2.17,0.29,2.25,0.91,2.63,0.05,13.18,7.04
Operating Profit,-0.01,-0.29,0.29,-0.37,0.07,-0.49,-0.05,0.05,0.12
OPM %,-4.35,-15.43,50.0,-19.68,7.14,-22.9,,0.38,1.68
Other Income,0.08,0.06,0.05,0.04,0.0,0.05,0.13,0.28,0.0
Interest,0.01,0.0,0.0,0.0,0.0,0.01,0.00,0.0,0.0
Depreciation,0.02,0.0,0.01,0.01,0.01,0.02,0.01,0.01,0.01
Profit before tax,0.04,-0.23,0.33,-0.34,0.06,-0.47,0.07,0.32,0.11
Tax %,25.0,0.0,3.03,-2.94,-33.33,-4.26,0.00,37.5,27.27
Net Profit,0.03,-0.23,0.32,-0.35,0.07,-0.5,0.06,0.2,0.08
EPS in Rs,0.1,-0.76,1.06,-1.16,0.23,-1.66,0.20,0.66,0.27
