,2006-03-01,2014-03-01,2015-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,8,8,8,10,11,11,11,12,13,13,13
Reserves,18,-17,-17,-21,-20,-21,-23,-7,-5,-24,-36
Borrowings,5,3,3,4,4,3,6,10,45,74,81
Other Liabilities,3,22,22,21,29,36,39,43,24,31,40
Total Liabilities,34,15,16,14,23,30,34,58,77,95,99
Fixed Assets,8,3,3,6,5,6,5,29,39,38,64
CWIP,0,1,1,1,4,6,10,13,19,25,1
Investments,1,0,0,0,0,0,0,0,0,6,4
Other Assets,25,11,12,8,14,18,19,16,19,26,30
Total Assets,34,15,16,14,23,30,34,58,77,95,99
