,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-6,23,7,6,21,-8,18,18,35,14,34
Cash from Investing Activity,-12,-2,-18,-4,-19,-18,-14,-8,-12,-16,-16
Cash from Financing Activity,18,-20,11,-1,0,25,-4,-9,-22,2,-13
Net Cash Flow,0,0,0,1,2,-1,-1,1,1,0,5
