,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10,10,10,10,10,12,12,12,12,12,12,12
Reserves,49,57,60,66,74,94,98,114,144,175,227,231
Borrowings,37,21,39,44,52,64,74,84,72,82,82,80
Other Liabilities,32,32,47,40,54,61,85,75,88,100,128,150
Total Liabilities,128,120,156,160,190,231,269,285,316,369,449,473
Fixed Assets,57,57,69,66,86,88,90,101,98,112,116,113
CWIP,1,1,0,0,1,1,12,6,12,1,4,7
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets,70,62,87,93,103,141,166,177,207,257,329,353
Total Assets,128,120,156,160,190,231,269,285,316,369,449,473
