,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,28.0,50.0,103.0,110.0,151
Expenses,48.0,52.0,108.0,137.0,177
Operating Profit,-20.0,-2.0,-5.0,-28.0,-26
OPM %,-73.0,-4.0,-5.0,-25.0,-17
Other Income,0.0,0.0,4.0,8.0,6
Interest,0.0,1.0,1.0,2.0,3
Depreciation,4.0,5.0,5.0,6.0,7
Profit before tax,-25.0,-7.0,-8.0,-28.0,-30
Tax %,1.0,-2.0,2.0,-1.0,
Net Profit,-25.0,-7.0,-8.0,-28.0,-29
EPS in Rs,-2.78,-0.74,-0.63,-1.87,-2.07
