,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,72.0,117.0,148.0,106.0,127.0,248.0,358.0
Expenses,70.0,115.0,144.0,102.0,123.0,240.0,345.0
Operating Profit,2.0,3.0,4.0,4.0,4.0,7.0,13.0
OPM %,3.0,3.0,3.0,3.0,3.0,3.0,4.0
Other Income,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Interest,2.0,2.0,3.0,3.0,3.0,3.0,6.0
Depreciation,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Profit before tax,0.0,0.0,1.0,0.0,1.0,4.0,7.0
Tax %,24.0,41.0,25.0,33.0,36.0,28.0,24.0
Net Profit,0.0,0.0,0.0,0.0,0.0,3.0,5.0
EPS in Rs,0.75,0.77,1.25,0.56,1.28,6.42,5.09
