,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,41.0,76,40,74,73,56,55
Inventory Days,64.0,34,55,60,78,51,62
Days Payable,2.0,11,11,8,32,18,20
Cash Conversion Cycle,103.0,99,83,126,118,90,97
Working Capital Days,112.0,104,82,123,119,89,98
ROCE %,,8,9,8,9,13,15
